D6RIA3, 0.50546403,-0.52205636, 0.90340858,-0.60358508, 0.85499367,-3.90924059, 2.29073491,-2.57804266,-3.88107531, 0.06951091,-2.20326862,-0.20680639,-0.37048605, 0.34215533, 1.83855745,-2.34336459,-1.78582688,-2.54117161,-2.33398096,-3.72920439, 1.62865787,-0.51072659
E9PAV3,-0.876719227, 0.216438887,-0.037642483, 0.439292166,-0.157313099,-0.002729877,-0.404430124, 0.409425493, 0.627066428, 0.335861681,-0.570875758, 0.134672069,-1.061897067, 0.939041732, 0.166134044, 0.311249230, 0.673445888,-0.326950844,-0.144341549, 0.636060348,-1.613597694, 0.099838164
E9PRG8,0.4948879,0.5473785,0.4802393,0.5961843,0.4692796,0.4103946,0.4786735,0.5444034,0.4449030,0.4774568,0.4280065,0.7385601,0.4923891,0.4204044,0.4657428,0.7417194,0.3035097,0.4781767,0.4692877,0.5463615,0.4993055,0.3965271
O00154, 0.29615650, 0.34691382,-0.01945404, 0.79358305, 0.30260407, 0.24006491, 0.50446811, 0.13663247, 0.27003838, 0.91188776, 0.25314188, 0.42135410, 0.15855569, 0.15434162, 0.22892658, 0.34924515, 0.23043887, 0.24136046, 0.47893858, 0.20715730, 0.16547203, 0.35477772
O00159, 1.05697574, 0.66160982,-0.74733328, 0.26309189, 0.97549370, 0.67902329, 1.06582400, 0.99213697, 0.61635119, 0.19963415, 0.13362776,-0.50566291,-0.08320541, 0.37830967, 0.02022848, 0.18208136, 0.09562800, 0.03266236, 0.13879847,-0.21666842, 0.14929429, 0.50072645
O00170,-0.18082757,-0.10094085, 0.42667714,-0.57717020,-0.03011266,-0.20336926, 0.06987048, 0.29022063,-0.09766311,-0.18963536,-0.07373646,-0.07628496,-0.06415227,-0.18560998,-0.09795176,-0.20718814,-0.13726262,-0.08551788,-0.19780452,-0.07007332, 0.14970187,-0.13262476
O00182, 0.11400451, 0.09766202,-0.27724144, 0.08509475, 0.10809820, 0.09146282,-0.27880724, 0.10108451, 0.15455531, 0.12748698, 0.10194421, 0.21265244, 0.14646474, 0.11725542,-0.33878302, 0.32586928, 0.11495580, 0.31711127, 0.15329925, 0.14696796,-0.43712643, 0.19542912
O00231,-0.01086783,-0.03186560,-0.12215359,-0.23296179, 0.23640739, 0.41155958, 0.09176797,-0.24629595,-0.14304881,-0.07242695, 0.13956260, 0.04566188,-0.19159247,-0.08636584,-0.03922460,-0.10421885,-0.18264832, 0.07552729,-0.26552000, 0.10407874,-0.21061980, 0.03665072
O00232,-0.33515571, 0.33735283, 0.50897675, 0.22995100, 0.32025757,-0.02028578, 0.10827645,-0.37807292, 0.21119081, 0.12700697, 0.08900775, 0.06551469, 0.12421189, 0.11999783, 0.04515047, 0.10945418,-0.15265447, 0.05758435, 0.11883781, 0.10022275, 0.31084440, 0.22757250
O00244,1.2551519,1.8152066,1.7531936,0.9216944,1.8293504,1.2326103,1.8090055,0.8780327,0.9698848,0.8919256,0.9529883,1.1826809,0.9074069,0.9031928,0.9287730,1.6996023,0.9302853,1.2393043,0.8837565,0.8774252,0.9143233,1.2036795
O00264,-0.6776451,-1.3649633, 0.9235134,-1.4207221, 0.8583401,-0.6843256, 0.3318162,-1.6020366,-1.1768373,-0.7740051,-0.9916483, 0.8458938, 0.1398703, 0.1163632, 0.3537070,-0.9802380, 0.7534885, 0.7969425,-0.1658368,-0.9796285, 0.3716770, 0.6802270
