D6RIA3,-0.5947479,-0.4959880, 2.3182502, 1.5771983,-2.5276096, 1.5584958, 1.5643859, 2.2274731, 1.9339150, 1.5604239, 1.5556025
E9PAV3,-1.9812703,-1.6129539,-1.3498957,-1.5435845,-1.4798492,-1.6434668,-1.5128913,-0.9294211,-0.5433321,-1.6415388,-1.4447019
E9PRG8,0.7477283,0.7404515,0.7738232,0.7778906,0.6748299,0.7591881,0.7650781,0.7737801,0.7883056,0.7611162,0.7562948
O00154,0.2113736,0.6010065,0.5646863,0.6420822,0.2102870,0.6311713,0.7248530,0.6811606,0.7432879,0.6088280,0.4995478
O00159,-0.14851953,-0.49581339,-0.04253028, 0.03560634,-0.43722904,-0.25057113,-0.67835018,-0.14587073, 0.21644490, 0.74985476,-0.12646902
O00170,-0.373496244,-0.231220648, 0.003498884,-0.146945450,-0.121110134,-0.165647932,-0.082895326,-0.037328194,-0.004883557,-0.086857316,-0.091678704
O00182, 0.2642289, 0.2230171,-0.2505247, 0.1923401, 0.2510472, 0.1372175, 0.1431075, 0.1797131,-0.3684814, 0.1641408, 0.2478001
O00231,0.11069570,0.14268176,0.18696017,0.16429401,0.06073511,0.03350583,0.15148157,0.04158516,0.19053585,0.14751958,0.14269819
O00232, 0.1081551, 0.2996535, 0.1045145, 0.1756739, 0.1637578, 0.3985784, 0.2773019,-0.0829830, 0.1578607, 0.2870831, 0.2685186
O00244,1.181166,1.607699,1.578696,1.593309,1.137512,1.331785,1.840647,1.517513,1.638458,1.835185,1.569158
O00264, 0.24474070,-0.01988336, 0.07000206, 0.16066363,-0.02580254,-0.64017627, 0.07325715, 0.06995902, 0.17243189, 1.43686319, 0.69742313
O00264,-0.08838445,-0.07034786,-1.04877078,-0.05822221,-0.42807879,-0.07692470,-0.58249104,-0.40419526,-1.27170404,-0.07499665,-0.07981803
O00299,-0.66914504, 0.10841272, 0.47684509,-0.04562286,-0.97050092,-0.65768529,-0.28516658,-0.26544034,-2.39416883,-0.65575724,-1.05843017
O00303,-1.0445935, 0.3507580,-0.6953857,-0.2341983,-0.3335907,-0.1126196,-0.3566536, 0.4303624,-1.0578463,-0.5006120,-0.7250039
O00410, 0.8916068, 0.9826963,-0.2260783, 0.1166822, 0.6974032, 0.5842197, 0.6413383, 0.0567648, 0.2807293, 0.5386407, 0.5813263
O00422, 0.1356299, 0.1011858,-0.3726715,-0.6920869, 0.1586213, 0.1611430, 0.1409558,-0.4269013, 0.2086265, 0.1630711, 0.1582497
O00425,-1.1102358,-1.2021555, 0.4164594,-0.3542788,-0.7603889,-0.7643769,-0.9882309,-0.7909851, 0.6160897,-0.4430939,-0.8719253
O00483, 0.1545792,-0.4336428, 0.3963863, 0.3010004,-0.7181086, 0.2822980,-0.1770823, 0.0462334, 0.2192472,-0.1810443,-0.1858657
O00487,0.3127829,0.3736001,0.6559726,0.5181076,0.5722204,0.5052820,0.3301327,0.6559295,0.5827423,0.3261707,0.5023886
O00505, 0.171083561, 0.381400003,-0.152709739,-0.056489641, 0.105686739,-0.090971983, 0.122611835,-0.007291611,-0.043130849,-0.072689319,-0.093865322
O00541,0.5063886,0.3636184,0.3473066,0.3348175,0.3082133,0.2604448,0.3260751,0.2150726,0.5757315,0.2623728,0.2575515
O00567, 0.285885779, 0.475086462, 0.712566287, 0.482137779, 0.282779771,-0.004566503, 0.710392736, 0.464269853, 0.745160589, 0.833494194, 0.976091568
O00571,-0.2360201, 0.5886067,-1.1457510,-0.9186585, 0.2807000,-0.6207771,-0.0811564,-0.5417579,-0.1651113, 0.1615259, 0.2503297
O00767,1.167103,1.223471,1.182471,1.197265,1.158545,1.178563,1.184453,1.182428,1.271325,1.180491,1.175669
