E9PAV3, 0.463513152, 0.316104143, 0.557485832, 0.330354820, 0.057948775,-0.245149626, 0.285554202, 0.190641687, 0.133524098,-0.211772126,-0.177323228, 0.001760871, 0.193516386,-0.148754939, 0.502740866,-0.072855398,-0.217439161, 0.271653991, 0.321024560, 0.337350377,-0.069513165,-0.159868016,-0.953183150, 0.180267756
O00154, 0.18655775,-0.47731109,-0.49901471,-0.41814974,-0.41955099,-0.41732353,-0.38926771,-0.37973461,-0.39424100,-0.48072335,-0.49538360, 0.17284144,-0.60781011,-0.29331501,-0.59798533,-0.37410327,-0.36575536,-0.05160467,-0.05438205,-0.04685413,-0.41981578,-0.41754415,-0.43548958,-0.42624082
O00264, 0.13712936, 0.14707502, 0.12537141, 0.08933039, 0.08792913, 0.09015660, 0.13975884, 0.14929193, 0.13478554, 0.13944566, 0.12478542, 0.09083852, 0.04842556, 0.06390970,-0.01498281, 0.05357261, 0.06192052, 0.06957660, 0.06679921, 0.07432714, 0.13652623, 0.13879786, 0.07311191, 0.08236067
O00299, 0.43763216,-0.50019059, 0.19110080, 0.12315486, 0.49619889, 0.05787591, 0.03902305, 0.21831717,-0.27510250, 0.38150074, 0.15784140, 0.32393332, 0.54441888, 0.20233770, 0.63281798,-0.57518333, 0.27611278,-0.08393149,-0.16513985, 0.35334052, 0.19810410,-0.07631250, 0.13642591,-0.20945019
O00410, 0.25071041, 0.04135865, 0.23895246,-0.12726887, 0.34768804, 0.21889650, 0.09202829, 0.19329792, 0.68536907, 0.23692741, 0.36168847, 0.29134342, 0.36541265, 0.26472661,-0.53051501, 0.29689839,-0.05448618,-0.39042052, 0.18277273, 0.23822144, 0.09272450, 0.30569464, 0.27026737, 0.29699797
O00422,-0.32173849,-0.31179282,-0.33349644,-0.27742836,-0.27882962,-0.27660215,-0.20074648,-0.19121338,-0.20571977,-0.23979448,-0.25445472,-0.31135302,-0.04236954,-0.37012557,-0.14604122,-0.32085448,-0.31250657,-0.30181105,-0.30458844,-0.29706051,-0.28046583,-0.27819420,-0.35616684,-0.34691809
O00567,-0.38174647,-0.26127693,-0.49177698, 0.45209623,-0.54328118,-0.49132528,-0.32216551,-0.19753838,-0.81860933,-0.16864769, 0.26476065,-0.25400910, 0.14867945, 0.40840981, 0.03343198,-0.32618739,-0.72540601,-0.68750813,-0.69028552,-0.04257769,-0.97600175,-0.11205787,-0.43040003,-0.37307265
O00571, 0.017136485, 0.027082155, 0.005378536,-0.039615722,-0.041016978,-0.038789513, 0.031835696, 0.041368793, 0.026862402, 0.023083251, 0.008423009,-0.053971375, 0.012374689, 0.041124966,-0.060501144,-0.054746870,-0.046398955,-0.071483633,-0.074261023,-0.066733094,-0.009624356,-0.007352726,-0.086419058,-0.077170301
O14579,-0.053739885,-0.043794215,-0.065497834,-0.071031214,-0.072432469,-0.070205004, 0.019557420, 0.029090517, 0.014584126,-0.004735003,-0.019395245,-0.028614799, 0.051957332, 0.048117070, 0.043116510,-0.030610455,-0.022262540,-0.082298700,-0.085076090,-0.077548162,-0.039265627,-0.036993998,-0.073950554,-0.064701797
O14737, 0.29733308,-0.73465877,-0.08498919, 0.10002865,-0.04649313,-0.48345020,-0.11751194,-0.16138082,-0.06625155, 0.19184912, 0.44102146,-0.02123166,-0.42209060,-0.58756759,-0.25313288,-0.63316840,-0.23616766, 0.37700635,-0.12066912,-0.63110711, 0.18427489,-0.41740278, 0.53220944, 0.41298657
