A0A1B0GX78,-0.457509647,-0.444052487,-0.248055365,-0.057566548,-0.228895202,-0.161097863,-0.177518079,-0.348690730,-0.153456240,-0.053187185, 0.216235183,-0.577485962, 0.544021050,-0.065695800,-0.032272782, 0.003197252,-0.170945894,-0.207503492,-0.217631370, 0.198387967,-0.065695800,-0.290897425,-0.242019126,-0.102076374,-0.141424932,-0.415867050,-0.149554184,-0.141424932,-0.170945894,-0.204368912
A6NFK2,-1.0653089,-0.9124230,-1.0658383,-1.0658383,-1.0653089,-0.9944862,-1.0658383,-1.0653089,-1.0658383,-1.0653089,-0.8014753,-1.0679735,-0.9236817,-1.0658383,-1.1108081,-1.0658383,-1.0658383,-1.0658383,-0.7364174,-1.0658383,-1.0658383,-1.0750922,-1.0658383,-1.0658383,-1.0658383,-0.9236817,-1.0195552,-1.0313433,-1.0658383,-1.0750922
A6NFN9, 1.80896826,-0.35516974, 0.67312960, 0.54391545, 0.54858941,-0.53477718,-0.33187258, 0.36940728, 0.74585694, 0.08441072, 0.38689797,-0.20907661, 0.60993837, 1.09250913, 0.67298809, 0.67298809, 1.09250913, 0.81618817,-0.10832875, 0.96655246, 0.97445499,-0.10757810, 0.19381175,-0.03478630, 1.80715253, 1.33235207,-0.11349716, 1.65223494,-0.18186009, 1.29807253
A6NHQ2,-0.41424677,-0.79860873,-0.33344113,-0.32432522,-0.49571752,-0.10071922,-0.57009074,-0.11826200,-0.17877370, 0.08594699, 0.54411534, 0.60819695,-0.32905251,-0.36673232,-0.23786854,-0.26536906,-0.50211388,-0.33529528,-0.46462296, 0.04999648, 0.53856526, 0.42685980,-0.34401539, 0.62684372,-0.24602920, 0.22761583,-1.15651130, 0.04778850,-0.90815549, 0.27975803
B4DXR9,-0.54605855, 0.02582432, 0.02582432,-0.46678104, 0.02582432,-0.54605855,-0.46678104, 1.02696928,-1.22684416, 0.27734784,-0.68867935,-0.45084679, 0.02582432,-0.54605855, 0.02582432,-0.54605855,-0.46678104,-0.54605855, 0.02582432,-0.46678104,-0.46678104,-0.46678104,-0.46678104,-0.46678104, 0.02582432,-0.54605855, 0.02582432, 0.02582432, 0.02582432, 0.02582432
C4AMC7,-0.235699321,-0.000550216, 0.098489410,-0.647810407, 0.606031718, 0.631742163, 0.484890051,-0.647810407,-0.252171616,-0.585415812, 0.484890051,-0.647810407,-0.274091267, 0.114961705, 0.111170912,-0.486899305, 0.506809702,-0.235699321,-0.647810407, 0.469543982, 0.484890051, 0.469543982, 0.469543982,-0.275229729,-0.647810407,-0.509618630,-0.647810407,-0.647810407,-0.297149381,-0.259883660
E9PAV3, 0.44805264, 0.18626564, 0.23264601, 0.25823276, 0.72721785, 0.45660332, 0.17728587, 0.19386795, 0.09343456, 0.27652457, 0.22467066,-0.20168568, 0.51488770, 0.03123097,-0.08382235,-0.48953239,-0.11167264, 0.09324195, 0.18626566, 0.11807523, 0.65750932,-0.02534859, 0.11650929,-0.43888742, 0.04982773, 0.05497113, 0.43386714, 0.19598163, 0.15612092, 0.28050306
O00154, 0.08015259,-0.21196870,-0.24521751, 0.01946136,-0.53258041,-0.83039773,-0.33101250,-0.55821384,-0.55821384,-0.85095759,-0.42346136,-0.83039773, 0.08015259,-0.21196870,-0.21196870,-0.61412353,-0.61890507,-0.61890507, 0.08015259,-0.55821384,-0.24521751,-0.55343230,-0.49507972,-0.70259905,-0.34584407, 0.05443349,-0.55821384,-0.38422187,-0.21196870,-0.55821384
O00170,-0.233999352, 0.016784728,-0.073953882,-0.218554975,-0.218554975,-0.000233204,-0.073953882,-0.107147109,-0.107147109,-0.107147109,-0.218554975,-0.000233204,-0.082794952,-0.073953882,-0.211411058,-0.244604285,-0.073953882,-0.218554975,-0.004647023,-0.134960282,-0.073953882,-0.218554975,-0.218554975,-0.038404519,-0.107147109,-0.417018550,-0.107147109,-0.218554975,-0.107147109,-0.107147109
O00192, 0.35422094, 0.32769314, 0.32986056, 0.07893288, 0.05406064, 0.29716160, 0.32769314, 0.30906672, 0.17281341, 0.16090829, 0.31387338, 0.29716160, 0.35422094, 0.32769314, 0.32769314,-0.07701601, 0.17472805, 0.31098136, 0.35422094, 0.17676043,-0.07701601, 0.30223449,-0.07701601, 0.18550729,-0.07701601, 0.22191465, 0.30906672,-0.00354066, 0.32769314, 0.30906672
